,product_id,latitude,longitude,epsg
nairobi,LC08_L1TP_168061_20160124_20170330_01_T1,-1.2819,36.848,32637
johannesburg,LC08_L1TP_170078_20150831_20170404_01_T1,-26.1919,28.092,32635
kampala,LC08_L1TP_171060_20160129_20170330_01_T1,0.315,32.585,32636
antananarivo,LC08_L1TP_159073_20150919_20170404_01_T1,-18.902,47.519,32638
windhoek,LC08_L1TP_178076_20160114_20170405_01_T1,-22.561,17.072,32633
saint_louis,LC08_L1TP_205049_20161009_20170320_01_T1,16.019,-16.496,32628
gao,LC08_L1TP_194049_20160114_20170405_01_T1,16.28,-0.051,32631
chimoio,LC08_L1TP_168073_20150529_20170408_01_T1,-19.115,33.478,32636
dakar,LC08_L1TP_206050_20151217_20170331_01_T1,14.738,-17.434,32627
katsina,LC08_L1TP_189051_20160111_20170405_01_T1,12.992,7.596,32632
